timestamp,temperature_f,humidity_pct,apparent_temp_f,precipitation_in,wind_speed_mph
2024-01-01 00:00:00,58.7,86,58.2,0.0,4.6
2024-01-01 01:00:00,59.5,86,59.4,0.0,4.2
2024-01-01 02:00:00,57.7,91,57.6,0.8,4.3
2024-01-01 03:00:00,58.2,93,58.0,0.1,4.9
2024-01-01 04:00:00,60.6,87,61.5,0.1,3.1
2024-01-01 05:00:00,57.3,95,58.0,0.2,2.6
2024-01-01 06:00:00,56.0,97,56.4,0.3,2.9
2024-01-01 07:00:00,56.1,97,56.6,0.0,2.9
2024-01-01 08:00:00,58.6,98,60.0,0.6,2.8
2024-01-01 09:00:00,59.1,97,58.4,0.2,8.1
2024-01-01 10:00:00,60.3,92,59.7,0.0,7.7
2024-01-01 11:00:00,60.4,89,58.6,0.1,9.8
2024-01-01 12:00:00,60.2,86,57.5,0.1,11.0
2024-01-01 13:00:00,60.3,83,57.4,0.0,10.6
2024-01-01 14:00:00,61.3,76,58.1,0.0,10.4
2024-01-01 15:00:00,64.0,68,60.5,0.0,10.4
2024-01-01 16:00:00,64.2,65,60.3,0.0,10.7
2024-01-01 17:00:00,63.0,63,58.7,0.0,10.3
2024-01-01 18:00:00,60.3,68,56.9,0.0,7.7
2024-01-01 19:00:00,56.8,72,53.4,0.0,6.8
2024-01-01 20:00:00,54.6,70,49.9,0.0,8.1
2024-01-01 21:00:00,53.7,64,47.7,0.0,9.4
2024-01-01 22:00:00,52.1,65,46.2,0.0,8.6
2024-01-01 23:00:00,50.7,68,45.2,0.0,7.7
2024-01-02 00:00:00,49.2,67,43.6,0.0,6.9
2024-01-02 01:00:00,47.7,67,41.7,0.0,7.0
2024-01-02 02:00:00,46.5,67,40.2,0.0,7.5
2024-01-02 03:00:00,45.4,68,38.9,0.0,7.6
2024-01-02 04:00:00,44.4,68,37.8,0.0,7.8
2024-01-02 05:00:00,43.5,68,36.6,0.0,7.9
2024-01-02 06:00:00,42.7,68,35.9,0.0,7.4
2024-01-02 07:00:00,42.1,66,34.9,0.0,7.7
2024-01-02 08:00:00,41.5,69,34.4,0.0,7.7
2024-01-02 09:00:00,42.1,69,34.8,0.0,8.4
2024-01-02 10:00:00,45.1,64,37.7,0.0,8.9
2024-01-02 11:00:00,48.5,61,41.5,0.0,8.9
